127.0.0.1 - - [31/May/2022:09:13:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/May/2022:09:13:45 +0900] "GET /LectureWeb/jquery/exam04.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [31/May/2022:09:13:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/May/2022:09:31:39 +0900] "GET /LectureWeb/jquery/exam05.html HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [31/May/2022:09:33:25 +0900] "GET /LectureWeb/jquery/exam05.html HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:20 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:20 +0900] "GET /LectureWeb/jquery/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:20 +0900] "GET /LectureWeb/jquery/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:32 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:32 +0900] "GET /LectureWeb/jquery/images/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 889
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:32 +0900] "GET /LectureWeb/jquery/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:32 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:32 +0900] "GET /LectureWeb/jquery/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:32 +0900] "GET /LectureWeb/jquery/images/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 889
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:33 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:33 +0900] "GET /LectureWeb/jquery/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:33 +0900] "GET /LectureWeb/jquery/images/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 889
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:33 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:33 +0900] "GET /LectureWeb/jquery/images/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 889
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:33 +0900] "GET /LectureWeb/jquery/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:33 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:33 +0900] "GET /LectureWeb/jquery/images/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 889
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:33 +0900] "GET /LectureWeb/jquery/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:33 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:33 +0900] "GET /LectureWeb/jquery/images/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 889
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:33 +0900] "GET /LectureWeb/jquery/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:33 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
